id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,instrumentalness,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2010s,energetic,0.05,English
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,60,2020s,nostalgic,0.80,English
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,70,2000s,aggressive,0.10,English
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020s,calm,0.90,English
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2010s,energetic,0.00,English
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010s,peaceful,0.95,English
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,50,1990s,nostalgic,0.60,English
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,65,2010s,moody,0.20,English
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020s,focused,0.70,English
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,80,2010s,joyful,0.15,English
11,Urban Groove,Beat Master,hip-hop,euphoric,0.88,95,0.85,0.92,0.12,75,2000s,euphoric,0.05,English
12,Heartland Sunset,Rusty Strings,country,romantic,0.65,110,0.78,0.68,0.45,60,1990s,romantic,0.10,English
13,Electric Dreams,Synth Nova,electronic,moody,0.80,128,0.52,0.85,0.08,68,2010s,moody,0.00,English
14,Serenade in G,Melody Masters,classical,relaxed,0.25,70,0.60,0.30,0.95,45,1980s,calm,0.95,Instrumental
15,Island Vibes,Tropical Rhythms,reggae,chill,0.70,100,0.75,0.78,0.20,55,2000s,peaceful,0.10,English
16,Bluesy Nights,Soulful Echo,blues,sad,0.55,85,0.35,0.55,0.60,50,1990s,nostalgic,0.30,English
17,Thunder Strike,Metal Fury,metal,angry,0.95,160,0.20,0.70,0.05,72,2000s,aggressive,0.00,English
18,Folk Tales,Wanderlust Folk,folk,nostalgic,0.50,90,0.65,0.50,0.80,48,1980s,nostalgic,0.60,English
19,Smooth Operator,Rhythm Kings,R&B,romantic,0.60,105,0.75,0.70,0.30,67,2010s,romantic,0.05,English
20,Punk Riot,Rebel Yell,punk,angry,0.90,140,0.25,0.75,0.10,66,2000s,aggressive,0.00,English
